,Date,Open,High,Low,Close,Volume,MA_short,MA_long,EMA_short,EMA_long,EMA_short_MACD,EMA_long_MACD,MACD,MACD_signal,MACD_hist,BIAS_short,BIAS_long,VR,OBV,Open_interpreted,High_interpreted,Low_interpreted,MA_short_interpreted,MA_long_interpreted,EMA_short_interpreted,EMA_long_interpreted,MACD_interpreted,BIAS_short_interpreted,BIAS_long_interpreted,VR_interpreted,OBV_interpreted
0,2017-01-04,28.9625,29.127501,28.9375,29.004999,84472400,,,29.004999,29.004999,29.004999,29.004999,0.0,,,,,,0,-1.0,1.0,-1.0,,,0.0,0.0,,,,,-1.0
1,2017-01-05,28.98,29.215,28.952499,29.1525,88774400,,,29.01078335294117,29.00646667164179,29.027691461538463,29.015925,0.011766461538464057,,,,,,88774400,-1.0,1.0,-1.0,,,-1.0,-1.0,,,,,0.0
2,2017-01-06,29.195,29.540001,29.1175,29.477501,127007600,,,29.029086005767013,29.011153580381674,29.09689292899408,29.05011581481481,0.046777114179271,,,,,,215782000,-1.0,1.0,-1.0,,,-1.0,-1.0,,,,,1.0
3,2017-01-09,29.487499,29.8575,29.485001,29.747499,134247600,,,29.05725906436438,29.01848040047738,29.1969861706873,29.101773828532227,0.09521234215506524,,,,,,350029600,-1.0,1.0,-1.0,,,-1.0,-1.0,,,,,1.0
4,2017-01-10,29.692499,29.844999,29.575001,29.7775,97848400,,,29.08550380693833,29.026032834303475,29.28629599058156,29.151827619011325,0.1344683715702324,,,,,,447878000,-1.0,1.0,-1.0,,,-1.0,-1.0,,,,,1.0
5,2017-01-11,29.684999,29.9825,29.65,29.9375,110354400,,,29.118915422352508,29.035102159335285,29.386481222799773,29.210025573158628,0.17645564964114513,,,,,,558232400,-1.0,1.0,-1.0,,,-1.0,-1.0,,,,,1.0
6,2017-01-12,29.725,29.825001,29.5525,29.8125,108344800,,,29.14611481755437,29.04283746123245,29.45202257313827,29.25465330848021,0.19736926465805735,,,,,,449887600,-1.0,1.0,-1.0,,,-1.0,-1.0,,,,,1.0
7,2017-01-13,29.7775,29.905001,29.702499,29.76,104447600,,,29.170188746277734,29.049973406891823,29.499403715732388,29.29208639674093,0.20731731899144634,,,,,,345440000,1.0,1.0,-1.0,,,-1.0,-1.0,,,,,1.0
8,2017-01-17,29.584999,30.059999,29.555,30.0,137759200,,,29.202730364070764,29.05942640781828,29.57641852869664,29.344524441426795,0.23189408726983984,0.1652648612761618,0.06662922599367804,,,,483199200,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
9,2017-01-18,30.0,30.125,29.9275,29.997499,94852000,,,29.233897761558186,29.06876046346188,29.641200139666385,29.392892927247033,0.24830721241935194,0.18387116853410465,0.06443604388524729,,,,388347200,1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
10,2017-01-19,29.85,30.022499,29.842501,29.945,102389200,,,29.26178412385002,29.07747926482047,29.687938579717713,29.433789747450962,0.25414883226675045,0.19924751979672944,0.054901312470020995,,,,285958000,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
11,2017-01-20,30.112499,30.112499,29.932501,30.0,130391600,,,29.290733766051982,29.086658575618273,29.73594802899191,29.47573124763977,0.2602167813521348,0.2123411602267294,0.04787562112540536,,,,416349600,1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
12,2017-01-23,30.0,30.202499,29.942499,30.02,88200800,,,29.319332441893085,29.095945554965358,29.779648332223925,29.516047451518308,0.2636008807056136,0.2231894979986179,0.040411382706995715,,,,504550400,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
13,2017-01-24,29.887501,30.025,29.875,29.9925,92844000,,,29.345731169661985,29.104866494716948,29.81239474265101,29.55134023288733,0.2610545097636852,0.23111088671155156,0.029943623052133637,,,,411706400,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
14,2017-01-25,30.105,30.525,30.07,30.469999,129510400,,,29.389820104185052,29.118449902729715,29.913564628397012,29.61938903045123,0.2941755979457774,0.2441837908830483,0.049991807062729134,,,,541216800,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
15,2017-01-26,30.4175,30.610001,30.4,30.485001,105350400,,,29.432768374609164,29.132047426085638,30.00147791633593,29.683508435602988,0.3179694807329376,0.25936833579558805,0.058601144937349574,,,,646567200,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
16,2017-01-27,30.535,30.5875,30.4,30.487499,82251600,,,29.474130359918608,29.1455345064231,30.076250390745784,29.74306329222499,0.3331870985207921,0.2744721970604503,0.05871490146034181,,,,728818800,1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
17,2017-01-30,30.2325,30.407499,30.165001,30.407499,121510000,,,29.51073305168651,29.15809136705571,30.12721171524643,29.79228075206018,0.3349309631862525,0.2867857719303943,0.0481451912558582,,,,607308800,-1.0,0.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
18,2017-01-31,30.2875,30.3475,30.155001,30.3375,196804000,,,29.54315528495371,29.169826776338734,30.15956375905467,29.83266736301869,0.3268963960359841,0.29492519824695634,0.03197119778902774,,,,410504800,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
19,2017-02-01,31.7575,32.622501,31.752501,32.1875,447940000,,,29.64685507770062,29.199853375579146,30.471553949969334,30.00709941020249,0.464454539766848,0.3292265340275161,0.1352280057393319,,,,858444800,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
20,2017-02-02,31.995001,32.3475,31.945,32.1325,134841600,,,29.744331349163343,29.22903393900623,30.727084111512518,30.16453649092823,0.5625476205842865,0.3763251594838787,0.18622246110040785,,,,723603200,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
21,2017-02-03,32.077499,32.297501000000004,32.040001000000004,32.27,98029200,,,29.843377178607927,29.259292307772327,30.964455786664434,30.32049675085947,0.6439590358049649,0.4302498285760975,0.2137092072288675,,,,821632400,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
22,2017-02-06,32.282501,32.625,32.224998,32.572498,107383600,,,29.950401524544873,29.29225952859052,31.21184689640837,30.48731165820321,0.7245352382051529,0.4894564044386822,0.23507883376647065,,,,929016000,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
23,2017-02-07,32.634998,33.022499,32.612499,32.8825,152735200,,,30.065385778484288,29.327983314375693,31.46887045080708,30.66473301685483,0.8041374339522527,0.5526912283544061,0.2514462055978466,,,,1081751200,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
