,Date,Open,High,Low,Close,Volume,MA_short,MA_long,EMA_short,EMA_long,EMA_short_MACD,EMA_long_MACD,MACD,MACD_signal,MACD_hist,BIAS_short,BIAS_long,VR,OBV,Open_interpreted,High_interpreted,Low_interpreted,MA_short_interpreted,MA_long_interpreted,EMA_short_interpreted,EMA_long_interpreted,MACD_interpreted,BIAS_short_interpreted,BIAS_long_interpreted,VR_interpreted,OBV_interpreted
0,2017-11-09,7446.830078,7446.830078,7101.52002,7143.580078,3226249984,,,7143.580078,7143.580078,7143.580078,7143.580078,0.0,,,,,,0,1.0,1.0,-1.0,,,0.0,0.0,,,,,-1.0
1,2017-11-10,7173.72998,7312.0,6436.870117,6618.1401369999985,5208249856,,,7122.9745901176475,7138.351819880598,7062.743164,7104.658600888889,-41.915436888889424,,,,,,-5208249856,1.0,1.0,-1.0,,,1.0,1.0,,,,,-1.0
2,2017-11-11,6618.6098630000015,6873.149901999999,6204.220215,6357.600098,4908680192,,,7092.95990415225,7130.58314603104,6954.259615384615,7049.32093400823,-95.06131862361508,,,,,,-10116930048,1.0,1.0,-1.0,,,1.0,1.0,,,,,-1.0
3,2017-11-12,6295.450195,6625.049805,5519.009765999999,5950.069824,8957349888,,,7048.14068532275,7118.8367448168,6799.76887824852,6967.894925859471,-168.1260476109519,,,,,,-19074279936,1.0,1.0,-1.0,,,1.0,1.0,,,,,-1.0
4,2017-11-13,5938.25,6811.189941,5844.290039,6559.490234000001,6263249920,,,7028.97792252578,7113.271107893251,6762.802932979516,6937.6427264624745,-174.83979348295728,,,,,,-12811030016,-1.0,1.0,-1.0,,,1.0,1.0,,,,,-1.0
5,2017-11-14,6561.47998,6764.97998,6461.75,6635.75,3197110016,,,7013.557219681632,7108.519654083368,6743.256327905745,6915.28030228007,-172.0239743743241,,,,,,-9613920000,-1.0,1.0,-1.0,,,1.0,1.0,,,,,-1.0
6,2017-11-15,6634.759765999999,7342.25,6634.759765999999,7315.540039,4200880128,,,7025.399683184312,7110.579558410896,6831.299975766399,6944.929171666731,-113.629195900332,,,,,,-5413039872,-1.0,1.0,-1.0,,,-1.0,-1.0,,,,,-1.0
7,2017-11-16,7323.240234000001,7967.379883,7176.580078,7871.689941,5123809792,,,7058.587536431987,7118.152796048598,6991.359970417723,7013.57811754327,-22.218147125547148,,,,,,-289230080,-1.0,1.0,-1.0,,,-1.0,-1.0,,,,,-1.0
8,2017-11-17,7853.569823999998,8004.589844,7561.089844,7708.990234000001,4651670016,,,7084.093524571909,7124.031775530701,7101.76462635346,7065.0901261696945,36.6745001837644,-69.83625532212918,106.51075550589357,,,,-4940900096,1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,-1.0
9,2017-11-18,7697.209961,7884.990234000001,7463.439941,7790.149901999999,3667190016,,,7111.782009961246,7130.659816590099,7207.670053376003,7118.7982577126795,88.8717956633227,-34.27643891167186,123.14823457499456,,,,-1273710080,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,-1.0
10,2017-11-19,7766.029785,8101.910156,7694.100098000001,8036.490234000001,3149319936,,,7148.04507757061,7139.673054574278,7335.18085039508,7186.775441141371,148.40540925370897,5.693305634510884,142.7121036191981,,,,1875609856,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,-1.0
11,2017-11-20,8039.069823999998,8336.860352,7949.359863,8200.639648,3488450048,,,7189.323296018821,7150.229936100901,7468.328357718913,7261.8764935012705,206.45186421764447,48.807824529312754,157.64403968833167,,,,5364059904,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
12,2017-11-21,8205.740234,8348.660156,7762.709961,8071.259765999999,4277609984,,,7223.909039939651,7159.394412020295,7561.0870359160035,7321.830809982657,239.25622593334631,89.11332302297389,150.1429029103724,,,,1086449920,1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,-1.0
13,2017-11-22,8077.950195,8302.259766,8075.470215,8253.549805,3633530112,,,7264.287109157702,7170.281530358402,7667.619769621234,7390.847031835793,276.7727377854408,128.3718126069264,148.40092517851437,,,,4719980032,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
14,2017-11-23,8232.379883,8267.400391,8038.77002,8038.77002,4225179904,,,7294.658988014266,7178.9232068722495,7724.719808141042,7438.8413272553635,285.87848088567904,161.02191978227458,124.85656110340435,,,,494800128,1.0,1.0,0.0,,,-1.0,-1.0,1.0,,,,-1.0
15,2017-11-24,8074.02002,8374.160156,7940.930176000002,8253.69043,5058610176,,,7332.268064170567,7189.617408097402,7806.099903811651,7499.200520051263,306.89938376038845,191.04241437966155,115.85696938072691,,,,5553410304,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
16,2017-11-25,8241.709961,8790.919922,8191.149901999999,8790.919922,4342060032,,,7389.470097810939,7205.550766444691,7957.610675840628,7594.883438714132,362.7272371264953,226.1703906328489,136.55684649364636,,,,9895470336,-1.0,0.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
17,2017-11-26,8789.040039,9522.929688,8775.589844,9330.549805,5475579904,,,7465.590870641882,7226.695035485042,8168.832080326684,7723.451317698272,445.38076262841423,270.81674220110705,174.5640204273072,,,,15371050240,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
18,2017-11-27,9352.719727,9818.349609,9352.719727,9818.349609,5653320192,,,7557.855919204946,7252.482643181709,8422.604007814887,7878.628968905807,543.9750389090805,326.24723919260856,217.7277997164719,,,,21024370432,-1.0,0.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
19,2017-11-28,9823.429688,10125.700195,9736.299805,10058.799805,6348819968,,,7655.93215002044,7280.406197030648,8674.326438151058,8040.123104912785,634.2033332382744,388.5568387747586,245.6464944635157,,,,27373190400,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
