,Date,Open,High,Low,Close,Volume,MA_short,MA_long,EMA_short,EMA_long,EMA_short_MACD,EMA_long_MACD,MACD,MACD_signal,MACD_hist,BIAS_short,BIAS_long,VR,OBV,Open_interpreted,High_interpreted,Low_interpreted,MA_short_interpreted,MA_long_interpreted,EMA_short_interpreted,EMA_long_interpreted,MACD_interpreted,BIAS_short_interpreted,BIAS_long_interpreted,VR_interpreted,OBV_interpreted
0,2017-01-17,226.309998,226.77999900000003,225.800003,226.25,61240800,,,226.25,226.25,226.25,226.25,0.0,,,,,,0,1.0,1.0,-1.0,,,0.0,0.0,,,,,-1.0
1,2017-01-18,226.539993,226.800003,225.899994,226.75,54793300,,,226.2696078431373,226.2549751243781,226.3269230769231,226.28703703703704,0.0398860398860279,,,,,,54793300,-1.0,1.0,-1.0,,,-1.0,-1.0,,,,,0.0
2,2017-01-19,226.839996,227.0,225.410004,225.910004,66608800,,,226.2555057316417,226.2515425758769,226.26278168047332,226.2591086639232,0.0036730165501808187,,,,,,-11815500,1.0,1.0,-1.0,,,1.0,1.0,,,,,-1.0
3,2017-01-20,226.699997,227.309998,225.970001,226.740005,129168600,,,226.27450570294988,226.25640289850497,226.33620065270821,226.29473061474368,0.04147003796452964,,,,,,117353100,-1.0,1.0,-1.0,,,-1.0,-1.0,,,,,-1.0
4,2017-01-23,226.740005,226.809998,225.270004,226.149994,75061600,,,226.2696228910695,226.255344103495,226.3075534753685,226.2840093840219,0.023544091346593632,,,,,,42291500,1.0,1.0,-1.0,,,1.0,1.0,,,,,-1.0
5,2017-01-24,226.399994,228.080002,226.270004,227.600006,95555300,,,226.32179477769424,226.26872382385827,226.50639232531185,226.38149061483512,0.12490171047670627,,,,,,137846800,-1.0,1.0,-1.0,,,-1.0,-1.0,,,,,1.0
6,2017-01-25,228.699997,229.570007,228.50999500000003,229.570007,84437700,,,226.44917564915718,226.3015724126756,226.97771765987926,226.61767701373626,0.36004064614300546,,,,,,222284500,-1.0,0.0,-1.0,,,-1.0,-1.0,,,,,1.0
7,2017-01-26,229.399994,229.710007,229.00999500000003,229.330002,59970700,,,226.5621492315432,226.33170604041013,227.3396075583593,226.81858997568168,0.5210175826776435,,,,,,162313800,1.0,1.0,-1.0,,,-1.0,-1.0,,,,,1.0
8,2017-01-27,229.419998,229.589996,228.75999500000003,228.970001,59711100,,,226.65657479109055,226.3579577315504,227.59043731861172,226.97795375526084,0.6124835633509065,0.31329665496473386,0.2991869083861726,,,,102602700,1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
9,2017-01-30,228.169998,228.199997,226.410004,227.550003,79737300,,,226.69161119143996,226.36981887850013,227.58421665420997,227.02032777338962,0.5638888808202864,0.36944386041512495,0.19444502040516148,,,,22865400,1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,-1.0
10,2017-01-31,226.979996,227.600006,226.320007,227.52999900000003,75880800,,,226.72448914471678,226.3813629593111,227.57587547663917,227.05808119758305,0.5177942790561758,0.40190208434897795,0.1158921947071978,,,,-53015400,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,-1.0
11,2017-02-01,227.52999900000003,228.589996,226.940002,227.619995,79117700,,,226.75960702139457,226.39368765623337,227.58266309561776,227.0997044422065,0.4829586534112593,0.4193096360023058,0.06364901740895351,,,,26102300,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,-1.0
12,2017-02-02,227.619995,228.100006,226.820007,227.770004,69657600,,,226.79923043232031,226.40738234622108,227.61148477321498,227.1493562613024,0.462128511912681,0.4283715978028912,0.03375691410978987,,,,95759900,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
13,2017-02-03,228.820007,229.550003,228.460007,229.339996,80563200,,,226.8988682977195,226.4365625815821,227.87740957733573,227.31162587157618,0.5657837057595714,0.4571183133127663,0.10866539244680512,,,,176323100,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
14,2017-02-06,228.869995,229.330002,228.539993,228.929993,57790100,,,226.97852024682854,226.46137283450167,228.0393454885149,227.4315049181261,0.6078405703887881,0.4883620562032782,0.11947851418550992,,,,118533000,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
15,2017-02-07,229.380005,229.660004,228.720001,228.940002,57931200,,,227.0554410998941,226.48603581127284,228.17790802874336,227.54324544270932,0.6346625860340112,0.5184696145992571,0.11619297143475404,,,,176464200,1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
16,2017-02-08,228.940002,229.389999,228.309998,229.240005,51566200,,,227.1411102724473,226.51343848976762,228.34130756278287,227.66893133584202,0.6723762269408553,0.5499600383714067,0.12241618856944858,,,,228030400,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
17,2017-02-09,229.240005,230.949997,229.240005,230.600006,65955200,,,227.2767532421552,226.5541008530536,228.688799630047,227.88604797763145,0.8027516524155658,0.601445847055456,0.20130580536010975,,,,293985600,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
18,2017-02-10,231.0,231.770004,230.619995,231.50999500000003,66015900,,,227.44276272285504,226.6034132326252,229.1228296869629,228.15448849780688,0.9683411891559786,0.6758978823829457,0.2924433067730329,,,,360001500,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
19,2017-02-13,232.080002,233.070007,232.050003,232.770004,55182100,,,227.65167414548816,226.6647723447384,229.68393342743008,228.49637853500641,1.1875548924237194,0.7794228459588027,0.40813204646491663,,,,415183600,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
20,2017-02-14,232.559998,233.710007,232.160004,233.699997,71109000,,,227.88886327703761,226.73477458011416,230.30178936167164,228.88183175463558,1.4199576070360818,0.9087223758425671,0.511235231193515,,,,486292600,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
21,2017-02-15,233.449997,235.139999,233.389999,234.919998,86785800,,,228.16459405048718,226.81621958926732,231.01228299833755,229.32910332836624,1.683179669971281,1.0647652276893294,0.6184144422819517,,,,573078400,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
22,2017-02-16,234.949997,235.160004,233.850006,234.720001,84722400,,,228.421668832821,226.8948641804189,231.58270115243943,229.7284290818206,1.8542720706188331,1.2236042161694445,0.6306678544493889,,,,488356000,1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
23,2017-02-17,233.949997,235.089996,233.929993,235.089996,77204100,,,228.6831718589849,226.9764077806137,232.1222849751411,230.12558218687093,1.9967027882701416,1.3789575660420237,0.6177452222281179,,,,565560100,-1.0,0.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
24,2017-02-21,235.520004,236.690002,235.50999500000003,236.490005,88946100,,,228.9893221782404,227.07107043951308,232.79424190204242,230.59702091376943,2.1972209882730454,1.5432308574364777,0.6539901308365679,,,,654506200,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
25,2017-02-22,236.020004,236.539993,235.830002,236.27999900000003,62115200,,,229.27523107321136,227.16270156946823,233.33051222480515,231.01798225349015,2.3125299713149734,1.6975571026684388,0.6149728686465339,,,,592391000,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
26,2017-02-23,236.880005,236.899994,235.559998,236.440002,74615900,,,229.55620248210502,227.25501301653821,233.80889526714282,231.41961334582425,2.3892819213185703,1.8362373747215772,0.5530445465969929,,,,667006900,1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
27,2017-02-24,235.460007,236.789993,235.410004,236.740005,82381600,,,229.83792022790482,227.3493910462244,234.2598352260439,231.81371643131874,2.446118794725152,1.95845005242078,0.487668742304372,,,,749388500,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
28,2017-02-27,236.639999,237.309998,236.350006,237.110001,56515400,,,230.1230998660262,227.4465115432769,234.698322268191,232.2060338067766,2.4922884614144043,2.0653832052587857,0.4269052561556181,,,,805903900,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
29,2017-02-28,236.669998,236.949997,236.020004,236.470001,96961900,,,230.37199794971144,227.53629750802043,234.9708882269308,232.52188322849682,2.449004998433992,2.1422026617748444,0.3068023366591475,,,,708942000,1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
30,2017-03-01,238.389999,240.320007,238.369995,239.77999900000003,149158200,,,230.74093916736985,227.65812538356255,235.71075142278758,233.0595214337933,2.65122998899426,2.244109050417736,0.407120938576524,,,,858100200,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
31,2017-03-02,239.559998,239.570007,238.210007,238.270004,70246000,,,231.03619661178672,227.76371621556686,236.10448258851258,233.44548310536427,2.658999483148364,2.3271529311046097,0.3318465520437539,,,,787854200,1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
32,2017-03-03,238.169998,238.610001,237.729996,238.419998,81974300,,,231.3257574505402,227.8697488701384,236.4607157287414,233.8139656901521,2.646750038589346,2.3911128920429943,0.2556371465463521,,,,869828500,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
33,2017-03-06,237.5,238.119995,237.00999500000003,237.710007,55391500,,,231.57612017797,227.96766188635598,236.65291438585808,234.10256134273342,2.550353043124716,2.42297707932179,0.1273759638029257,,,,814437000,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,1.0
34,2017-03-07,237.360001,237.770004,236.75999500000003,237.0,65103700,,,231.78882134746135,228.057535897437,236.7063121726492,234.31718642845684,2.389125744192341,2.416204064834819,-0.027078320642477397,,,,749333300,1.0,1.0,-1.0,,,-1.0,-1.0,-1.0,,,,1.0
35,2017-03-08,237.339996,237.639999,236.399994,236.559998,78168800,,,231.9759263142276,228.14213751039784,236.6838022999339,234.4833206189415,2.2004816809924246,2.373045582338022,-0.17256390134559707,,,,671164500,1.0,1.0,-1.0,,,-1.0,-1.0,-1.0,,,,1.0
36,2017-03-09,236.699997,237.240005,235.740005,236.860001,90683900,,,232.16745865484611,228.22888242074214,236.7109097922517,234.6593710175384,2.05153877471335,2.308727522890188,-0.2571887481768371,,,,761848400,-1.0,1.0,-1.0,,,-1.0,-1.0,-1.0,,,,1.0
37,2017-03-10,237.970001,238.020004,236.589996,237.690002,81991700,,,232.38402898210708,228.3230229140681,236.86153936267453,234.88386220142445,1.9776771612500847,2.24250369641152,-0.2648265351614345,,,,843840100,1.0,1.0,-1.0,,,-1.0,-1.0,-1.0,,,,1.0
38,2017-03-13,237.619995,237.860001,237.240005,237.809998,57256800,,,232.596812080848,228.41742067611716,237.00745607610924,235.1006130013189,1.9068430747902883,2.1753604159962663,-0.26851734120597825,,,,901096900,-1.0,1.0,-1.0,,,-1.0,-1.0,-1.0,,,,1.0
39,2017-03-14,237.179993,237.240005,236.190002,236.899994,59880800,,,232.7655643129716,228.50182439078273,236.9909234490155,235.23390048270272,1.7570229663127748,2.0916818032640987,-0.3346588369513239,,,,841216100,1.0,1.0,-1.0,,,-1.0,-1.0,-1.0,,,,1.0
40,2017-03-15,237.559998,239.440002,237.289993,238.949997,96081800,,,233.008091085012,228.6057863072924,237.29231937993617,235.5091668913914,1.7831524885448005,2.029969377929564,-0.24681688938476354,,,,937297900,-1.0,1.0,-1.0,,,-1.0,-1.0,-1.0,,,,1.0
41,2017-03-16,239.110001,239.199997,238.100006,238.479996,78344000,,,233.22267559148207,228.70403715000583,237.47503885994598,235.72922830684388,1.7458105531021315,1.973132777840876,-0.2273222247387443,,,,858953900,1.0,1.0,-1.0,,,-1.0,-1.0,-1.0,,,,1.0
42,2017-03-17,237.75,237.970001,237.02999900000003,237.02999900000003,89002100,,,233.3719823918161,228.78688254154807,237.40657118918512,235.82558169152213,1.5809894976629553,1.8946987838642684,-0.3137092862013133,,,,769951800,1.0,1.0,0.0,,,-1.0,-1.0,-1.0,,,,1.0
43,2017-03-20,237.02999900000003,237.360001,236.320007,236.770004,52537000,,,233.5052381411567,228.8663165859108,237.30863777546432,235.89553889955752,1.413098875906769,1.7983735578286226,-0.3852746819218536,,,,717414800,1.0,1.0,-1.0,,,-1.0,-1.0,-1.0,,,,1.0
44,2017-03-21,237.470001,237.610001,233.580002,233.729996,131809300,,,233.51405217483682,228.9147114059515,236.75807750231598,235.7351283144052,1.0229491879107968,1.6432819286518847,-0.6203327407410879,,,,585605500,1.0,1.0,-1.0,,,-1.0,-1.0,-1.0,,,,1.0
45,2017-03-22,233.770004,234.610001,233.050003,234.27999900000003,97569200,,,233.54408930523536,228.96809735216092,236.37683465580582,235.6273409577825,0.749493698023258,1.4645180535142377,-0.7150243554909794,,,,683174700,-1.0,1.0,-1.0,,,-1.0,-1.0,-1.0,,,,1.0
46,2017-03-23,234.27999900000003,235.339996,233.600006,234.02999900000003,100410300,,,233.563144587383,229.01846453273646,236.0157830164511,235.50901933128014,0.5067636851709381,1.2729618400376923,-0.7661981548667545,,,,582764400,1.0,1.0,-1.0,,,-1.0,-1.0,-1.0,,,,1.0
47,2017-03-24,234.380005,235.039993,232.960007,233.860001,112504900,,,233.57478601532884,229.06663902494805,235.68412424468937,235.3868698252594,0.29725441942997577,1.0778160040185836,-0.7805615845886078,,,,470259500,1.0,1.0,-1.0,,,-1.0,-1.0,-1.0,,,,1.0
