,Date,Open,High,Low,Close,Volume,MA_short,MA_long,EMA_short,EMA_long,EMA_short_MACD,EMA_long_MACD,MACD,MACD_signal,MACD_hist,BIAS_short,BIAS_long,VR,OBV,Open_interpreted,High_interpreted,Low_interpreted,MA_short_interpreted,MA_long_interpreted,EMA_short_interpreted,EMA_long_interpreted,MACD_interpreted,BIAS_short_interpreted,BIAS_long_interpreted,VR_interpreted,OBV_interpreted
0,2017-01-17,88.58000200000002,89.800003,88.57,89.099998,0,,,89.099998,89.099998,89.099998,89.099998,0.0,,,,,,0,-1.0,1.0,-1.0,,,0.0,0.0,,,,,0.0
1,2017-01-18,89.040001,90.029999,86.940002,87.959999,0,,,89.05529215686275,89.08865472636816,88.92461353846156,89.01555362962965,-0.09094009116809333,,,,,,0,1.0,1.0,-1.0,,,1.0,1.0,,,,,0.0
2,2017-01-19,86.91999799999998,88.400002,86.400002,87.559998,0,,,88.99665317031912,89.07344421167791,88.71467268639053,88.90773469410152,-0.19306200771099213,,,,,,0,-1.0,1.0,-1.0,,,1.0,1.0,,,,,0.0
3,2017-01-20,87.66999799999998,89.809998,87.300003,88.68,0,,,88.98423539893406,89.06952934390006,88.70933842694582,88.8908654575014,-0.1815270305555714,,,,,,0,-1.0,1.0,-1.0,,,1.0,1.0,,,,,0.0
4,2017-01-23,89.599998,91.309998,89.269997,91.260002,0,,,89.07348114799547,89.09132509172194,89.1017482074157,89.06635705324206,0.03539115417366645,,,,,,0,-1.0,1.0,-1.0,,,-1.0,-1.0,,,,,0.0
5,2017-01-24,91.470001,93.239998,91.110001,91.910004,0,,,89.18471733827015,89.1193716480232,89.53378756012098,89.2769975678167,0.2567899923042773,,,,,,0,-1.0,1.0,-1.0,,,-1.0,-1.0,,,,,0.0
6,2017-01-25,90.150002,90.550003,89.099998,90.360001,0,,,89.23080689363209,89.13171621868963,89.66089732010236,89.35722004427473,0.3036772758276527,,,,,,0,-1.0,1.0,-1.0,,,-1.0,-1.0,,,,,0.0
7,2017-01-26,88.769997,89.190002,87.75,88.199997,0,,,89.19038297623476,89.12244538069271,89.43614342470201,89.27149981877291,0.16464360592911476,,,,,,0,1.0,1.0,-1.0,,,1.0,1.0,,,,,0.0
8,2017-01-27,88.089996,89.849998,88.07,89.58000200000002,0,,,89.20566215363733,89.12699818287489,89.4582755132094,89.29435183219714,0.16392368101227814,0.1170734000350186,0.04685028097725956,,,,0,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,0.0
9,2017-01-30,89.639999,90.559998,88.660004,89.019997,0,,,89.19838116722019,89.12593349448807,89.3908480496387,89.27402925203438,0.11681879760435265,0.11701635431089863,-0.0001975567065459621,,,,0,1.0,1.0,-1.0,,,1.0,1.0,-1.0,,,,0.0
10,2017-01-31,90.639999,91.760002,90.639999,91.760002,0,,,89.29883688615273,89.15214313135886,89.75533327277122,89.45817538151331,0.2971578912579105,0.15643029327767816,0.14072759798023232,,,,0,-1.0,0.0,-1.0,,,-1.0,-1.0,1.0,,,,0.0
11,2017-02-01,90.849998,92.099998,90.129997,91.75,0,,,89.394960929833,89.17799245343487,90.06220507696025,89.62794016806788,0.4342649088923878,0.21609751677784125,0.21816739211454653,,,,0,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,0.0
12,2017-02-02,92.760002,94.019997,92.669998,93.110001,0,,,89.5406487757219,89.21711691658476,90.53109675742792,89.88587060006284,0.6452261573650729,0.3069160463599393,0.3383101110051337,,,,0,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,0.0
13,2017-02-03,92.720001,93.769997,92.349998,92.919998,0,,,89.67317227471321,89.25396150447945,90.89862002551592,90.11062077783598,0.7879992476799487,0.4075590110198375,0.3804402366601112,,,,0,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,0.0
14,2017-02-06,93.800003,96.199997,93.269997,96.190002,0,,,89.92873422472448,89.3229768327931,91.71267879082116,90.56094531281107,1.1517334780100867,0.5618215344413106,0.5899119435687762,,,,0,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,0.0
15,2017-02-07,95.540001,96.660004,94.589996,95.290001,0,,,90.13897998061763,89.38235020759119,92.26303605377176,90.91124573408432,1.3517903196874244,0.7243912213748819,0.6273990983125425,,,,0,1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,0.0
16,2017-02-08,95.879997,97.199997,95.650002,96.720001,0,,,90.3970592362797,89.45536165826194,92.94872296857609,91.34152390192995,1.6071990666461602,0.9050201932820036,0.7021788733641566,,,,0,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,0.0
17,2017-02-09,97.0,97.040001,93.779999,94.019997,0,,,90.53913522701383,89.50078091539366,93.11353435802592,91.53992931660179,1.5736050414241165,1.04119018337703,0.5324148580470862,,,,0,1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,0.0
18,2017-02-10,93.089996,95.809998,92.849998,95.419998,0,,,90.7305416102682,89.55967859782754,93.46837491832964,91.82734181166836,1.6410331066612829,1.1629129783834269,0.4781201282778556,,,,0,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,0.0
19,2017-02-13,94.620003,95.139999,94.190002,94.510002,0,,,90.87875574319885,89.60893554710289,93.6286252385866,92.02605738117441,1.602567857412211,1.2518695536754876,0.3506983037367235,,,,0,1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,0.0
20,2017-02-14,95.410004,95.57,93.129997,94.269997,0,,,91.01174559640673,89.65531426802725,93.7272978172656,92.19227513071705,1.535022686548558,1.3090273680367692,0.2259953185117889,,,,0,1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,0.0
21,2017-02-15,93.440002,94.0,92.480003,93.400002,0,,,91.10540271027315,89.69257484247477,93.67694461460934,92.28173638029357,1.3952082343157883,1.3263916672056886,0.06881656711009976,,,,0,1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,0.0
22,2017-02-16,93.5,94.959999,93.470001,94.459999,0,,,91.23695550594871,89.74001189876854,93.79741452005405,92.44308916693848,1.3543253531155839,1.3320115784885158,0.022313774627068076,,,,0,-1.0,1.0,-1.0,,,-1.0,-1.0,1.0,,,,0.0
23,2017-02-17,94.349998,94.660004,92.459999,92.559998,0,,,91.28883952532328,89.76807146196488,93.60704274773805,92.4517490804986,1.1552936672394625,1.2965002989625078,-0.1412066317230456,,,,0,1.0,1.0,-1.0,,,-1.0,-1.0,-1.0,,,,0.0
24,2017-02-21,91.370003,92.120003,90.080002,91.730003,0,,,91.30614005374196,89.787593168811,93.3182674019322,92.39828640786907,0.9199809940631384,1.2209108691909438,-0.3009298751278056,,,,0,-1.0,1.0,-1.0,,,-1.0,-1.0,-1.0,,,,0.0
25,2017-02-22,91.18,91.370003,88.32,89.910004,0,,,91.25138962026188,89.78881118703178,92.7939191862503,92.21396919247135,0.5799499937789676,1.0923300825262854,-0.5123800887473178,,,,0,1.0,1.0,-1.0,,,1.0,-1.0,-1.0,,,,0.0
26,2017-02-23,90.919998,91.860001,89.559998,89.610001,0,,,91.18702143907517,89.78703198119067,92.30408561913488,92.02108265969571,0.2830029594391874,0.9300723427668108,-0.6470693833276233,,,,0,1.0,1.0,-1.0,,,1.0,1.0,-1.0,,,,0.0
27,2017-02-24,90.690002,90.690002,88.529999,88.620003,0,,,91.0863540493075,89.77541975252208,91.73730367772951,91.76915083305157,-0.03184715532204052,0.7373155973787934,-0.7691627527008339,,,,0,1.0,1.0,-1.0,,,1.0,1.0,-1.0,,,,0.0
28,2017-02-27,88.58000200000002,90.779999,84.150002,84.470001,0,,,90.82688922384449,89.72262951617859,90.61925711192495,91.22847306764031,-0.6092159557153565,0.4675919095691093,-1.076807865284466,,,,0,1.0,1.0,-1.0,,,1.0,1.0,-1.0,,,,0.0
29,2017-02-28,85.33000200000002,86.610001,83.66999799999998,84.58000200000002,0,,,90.58191325428194,89.67145909313206,89.69014094085958,90.7359937292966,-1.0458527884370028,0.1645277947657013,-1.210380583202704,,,,0,1.0,1.0,-1.0,,,1.0,1.0,-1.0,,,,0.0
30,2017-03-01,83.559998,85.589996,82.58000200000002,85.029999,0,,,90.36419112666306,89.62527541061334,88.9731960268812,90.31332745305241,-1.3401314261711974,-0.13670237333058,-1.2034290528406175,,,,0,-1.0,1.0,-1.0,,,1.0,1.0,-1.0,,,,0.0
31,2017-03-02,84.019997,84.029999,80.849998,80.959999,0,,,89.99539927855862,89.53905375478634,87.74039648428409,89.62048830838184,-1.8800918240977609,-0.4856567336116802,-1.3944350904860807,,,,0,1.0,1.0,-1.0,,,1.0,1.0,-1.0,,,,0.0
32,2017-03-03,80.709999,82.730003,79.93,82.139999,0,,,89.68734436567398,89.46543131941534,86.87879687131729,89.06637798924245,-2.1875811179251485,-0.8262574918521846,-1.361323626072964,,,,0,-1.0,1.0,-1.0,,,1.0,1.0,-1.0,,,,0.0
33,2017-03-06,81.550003,81.550003,78.889999,79.879997,0,,,89.30274250819656,89.37005386350077,85.80205842957619,88.38590532337265,-2.5838468937964763,-1.1779537034065126,-1.4058931903899636,,,,0,1.0,1.0,-1.0,,,1.0,1.0,-1.0,,,,0.0
34,2017-03-07,79.220001,80.279999,78.480003,79.160004,0,,,88.90498805689474,89.26846132754555,84.78020390194908,87.70250522534504,-2.9223013233959705,-1.5269648031260188,-1.3953365202699517,,,,0,1.0,1.0,-1.0,,,1.0,1.0,-1.0,,,,0.0
35,2017-03-08,78.160004,79.550003,77.93,78.519997,0,,,88.49773350564398,89.16151143373911,83.81709514780306,87.02231943087506,-3.205224283071985,-1.862725659742776,-1.3424986233292089,,,,0,-1.0,1.0,-1.0,,,1.0,1.0,-1.0,,,,0.0
36,2017-03-09,78.16999799999998,79.07,77.620003,77.699997,0,,,88.07429285836382,89.04746651400039,82.87600312506413,86.33177702858801,-3.455773903523877,-2.181418045772737,-1.2743558577511394,,,,0,1.0,1.0,-1.0,,,1.0,1.0,-1.0,,,,0.0
37,2017-03-10,78.059998,80.300003,77.809998,79.800003,0,,,87.74981090313385,88.95545195167205,82.40277233659273,85.84794191535927,-3.4451695787665386,-2.434220857461296,-1.0109487213052426,,,,0,-1.0,1.0,-1.0,,,1.0,1.0,-1.0,,,,0.0
38,2017-03-13,80.160004,80.949997,79.5,80.400002,0,,,87.46158310301097,88.87032309643152,82.09465382327078,85.44439081051785,-3.3497369872470837,-2.617354511715979,-0.7323824755311049,,,,0,-1.0,1.0,-1.0,,,1.0,1.0,-1.0,,,,0.0
39,2017-03-14,79.980003,80.91999799999998,77.690002,78.010002,0,,,87.0909328636772,88.76226019994962,81.46624585045987,84.89369534307208,-3.427449492612212,-2.7793950467767914,-0.6480544458354207,,,,0,1.0,1.0,-1.0,,,1.0,1.0,-1.0,,,,0.0
40,2017-03-15,78.699997,83.959999,77.959999,83.75,0,,,86.95991588863104,88.71238696412922,81.81759264269681,84.80897716951121,-2.9913845268143864,-2.821797451781416,-0.16958707503297002,,,,0,-1.0,1.0,-1.0,,,1.0,1.0,-1.0,,,,0.0
41,2017-03-16,84.800003,85.529999,82.980003,83.25,0,,,86.81442899103767,88.65803485503339,82.03796300535883,84.69349737917703,-2.6555343738181993,-2.788542007128417,0.1330076333102186,,,,0,1.0,1.0,-1.0,,,1.0,1.0,1.0,,,,0.0
42,2017-03-17,83.5,84.33000200000002,82.029999,82.550003,0,,,86.64719659923227,88.59725841866491,82.1167383891498,84.53472001775651,-2.417981628606725,-2.7144248872742844,0.2964432586675589,,,,0,1.0,1.0,-1.0,,,1.0,1.0,1.0,,,,0.0
43,2017-03-20,82.82,83.730003,82.230003,83.57,0,,,86.52652222279181,88.54723594683743,82.34031709851136,84.46325927570048,-2.1229421771891173,-2.5961219042301966,0.4731797270410802,,,,0,-1.0,1.0,-1.0,,,1.0,1.0,1.0,,,,0.0
44,2017-03-21,83.989998,85.5,83.58000200000002,84.730003,0,,,86.45607048856466,88.50925352945595,82.70796108335577,84.48301807009305,-1.7750569867372692,-2.431901767935877,0.6568447811986085,,,,0,-1.0,1.0,-1.0,,,1.0,1.0,1.0,,,,0.0
45,2017-03-22,85.16999799999998,85.949997,84.470001,85.099998,0,,,86.40289117528762,88.47533058886435,83.0759667628395,84.52872028712318,-1.4527535242836933,-2.2360652953003206,0.7833117710166273,,,,0,1.0,1.0,-1.0,,,1.0,1.0,1.0,,,,0.0
46,2017-03-23,85.309998,85.639999,83.059998,84.459999,0,,,86.32669932527634,88.43537704071646,83.28889479932573,84.52362982141038,-1.2347350220846351,-2.035793657898738,0.8010586358141031,,,,0,1.0,1.0,-1.0,,,1.0,1.0,1.0,,,,0.0
47,2017-03-24,84.120003,84.82,83.849998,83.989998,0,,,86.23506397918707,88.39114441344564,83.39675683019871,84.48410153834293,-1.0873447081442291,-1.8460996376298249,0.7587549294855953,,,,0,1.0,1.0,-1.0,,,1.0,1.0,1.0,,,,0.0
48,2017-03-27,85.470001,85.75,84.239998,85.32,0,,,86.19917911725817,88.36058576256559,83.69264039478351,84.54601994291009,-0.8533795481265969,-1.6475520775223411,0.7941725293957442,,,,0,1.0,1.0,-1.0,,,1.0,1.0,1.0,,,,0.0
49,2017-03-28,85.230003,85.690002,82.769997,83.41999799999998,0,87.61340016000004,,86.09019162246373,88.31142568532611,83.65069541097067,84.46261091010194,-0.811915499131274,-1.4804223764893256,0.6685068773580516,-4.786256614104715,,,0,1.0,1.0,-1.0,1.0,,1.0,1.0,1.0,-1.0,,,0.0
50,2017-03-29,83.190002,84.510002,82.989998,84.110001,0,87.51360022000004,,86.01253708824947,88.26962046457663,83.72135780928288,84.43649165750179,-0.7151338482189259,-1.3273629232052335,0.6122290749863075,-3.889223173819544,,,0,-1.0,1.0,-1.0,1.0,,1.0,1.0,1.0,-1.0,,,0.0
51,2017-03-30,83.559998,84.18,83.139999,83.269997,0,87.41980018000004,,85.90498649655342,88.21987296741665,83.65191768477783,84.350084645835,-0.6981669610571686,-1.2015225813014598,0.5033556202442913,-4.746983145071783,,,0,1.0,1.0,-1.0,1.0,,1.0,1.0,1.0,-1.0,,,0.0
52,2017-03-31,83.269997,84.91999799999998,83.010002,83.769997,0,87.34400016000004,,85.82126141825721,88.17559559460653,83.67008373327354,84.30711519058795,-0.6370314573144213,-1.0886235314933213,0.4515920741788999,-4.091870252625311,,,0,-1.0,1.0,-1.0,1.0,,1.0,1.0,1.0,-1.0,,,0.0
